NO,이수구분,AISW마이크로디그리,교양영역,학수번호,분반,개설학년,교과목명,학점,교수명,강의시간(강의실),수업구분,수업방법,팀티칭 유형
52,인성교양,,,0APR1139,BK,1,대학생활설계와비전2,1,권영재,화5(예술관(아산) 309),주간,대면수업,
53,인성교양,,,0APR1139,BQ,1,대학생활설계와비전2,1,박승규,수5(제1공학관(아산) 349),주간,대면수업,
54,인성교양,,,0APR1139,BR,1,대학생활설계와비전2,1,송동섭,수7(제1공학관(아산) 518),주간,대면수업,
55,인성교양,,,0APR1139,BS,1,대학생활설계와비전2,1,이진우,목1(제1공학관(아산) 452),주간,대면수업,
56,인성교양,,,0APR1139,BT,1,대학생활설계와비전2,1,김수길,수6(제1공학관(아산) 452),주간,대면수업,
57,인성교양,,,0APR1139,BU,1,대학생활설계와비전2,1,정재훈,화1(조형과학관(아산) 504),주간,대면수업,
58,인성교양,,,0APR1139,BV,1,대학생활설계와비전2,1,진현석,화4(보건과학관(아산) 113-1),주간,대면수업,
59,인성교양,,,0APR1139,BX,1,대학생활설계와비전2,1,장규현,월6(1호관(천안) 202),주간(천안),대면수업,
60,인성교양,,,0APR1139,C1,1,대학생활설계와비전2,1,한수진,수0(1호관(천안) 112),주간(천안),대면수업,
61,인성교양,,,0APR1139,C2,1,대학생활설계와비전2,1,이정승,목0(1호관(천안) 112),주간(천안),대면수업,
62,인성교양,,,0APR1139,C3,1,대학생활설계와비전2,1,이준호,수0(1호관(천안) 403-1),주간(천안),대면수업,
63,인성교양,,,0APR1139,C4,1,대학생활설계와비전2,1,김한준,화0(1호관(천안) 112),주간(천안),대면수업,
64,인성교양,,,0APR1139,C5,1,대학생활설계와비전2,1,김협,화0(1호관(천안) 403-1),주간(천안),대면수업,
65,인성교양,,,0APR1139,C6,1,대학생활설계와비전2,1,장명균,월3(1호관(천안) 101),주간(천안),대면수업,
66,인성교양,,,0APR1139,CA,1,대학생활설계와비전2,1,노재식,화1(1호관(천안) B11),주간(천안),대면수업,
67,인성교양,,,0APR1139,CB,1,대학생활설계와비전2,1,이인정,수1(벤처교육관(천안) 306),주간(천안),대면수업,
68,인성교양,,,0APR1139,CR,1,대학생활설계와비전2,1,김진배,화3(제1공학관(아산) 349),주간,대면수업,
69,인성교양,,,0APR1139,CT,1,대학생활설계와비전2,1,이준호,월5(제1공학관(아산) 434),주간,대면수업,
70,인성교양,,,0APR1139,CU,1,대학생활설계와비전2,1,홍선기,수5(제1공학관(아산) 453),주간,대면수업,
71,인성교양,,,0APR1139,CV,1,대학생활설계와비전2,1,안요섭,월1(조형과학관(아산) 504),주간,대면수업,
72,인성교양,,,0APR1139,CW,1,대학생활설계와비전2,1,정동주,수5(보건과학관(아산) 113-1),주간,대면수업,
73,인성교양,,,0APR1139,CY,1,대학생활설계와비전2,1,김유정,수4(1호관(천안) 202),주간(천안),대면수업,
74,인성교양,,,0APR1139,D2,1,대학생활설계와비전2,1,김연용,수0(1호관(천안) 414),주간(천안),대면수업,
75,인성교양,,,0APR1139,D3,1,대학생활설계와비전2,1,기현희,화0(1호관(천안) 414),주간(천안),대면수업,
76,인성교양,,,0APR1139,D4,1,대학생활설계와비전2,1,김민철,수9(1호관(천안) 414),주간(천안),대면수업,
77,인성교양,,,0APR1139,D7,1,대학생활설계와비전2,1,조정현,월8(1호관(천안) 414),주간(천안),대면수업,
78,인성교양,,,0APR1139,D8,1,대학생활설계와비전2,1,정훈,수8(1호관(천안) 414),주간(천안),대면수업,
79,인성교양,,,0APR1139,DA,1,대학생활설계와비전2,1,차경호,화3(벤처교육관(천안) 201),주간(천안),대면수업,
80,인성교양,,,0APR1139,DB,1,대학생활설계와비전2,1,이상윤,수2(1호관(천안) B12),주간(천안),대면수업,
81,인성교양,,,0APR1139,DC,1,대학생활설계와비전2,1,임지영,목2(1호관(천안) 111),주간(천안),대면수업,
82,인성교양,,,0APR1139,DD,1,대학생활설계와비전2,1,두경희,화3(벤처교육관(천안) 308),주간(천안),대면수업,
83,인성교양,,,0APR1139,DE,1,대학생활설계와비전2,1,김효정,화5(1호관(천안) B12),주간(천안),대면수업,
84,인성교양,,,0APR1139,DQ,1,대학생활설계와비전2,1,임태호,목6(제2공학관(아산) 215),주간,대면수업,
85,인성교양,,,0APR1139,DX,1,대학생활설계와비전2,1,정상희,월2(보건과학관(아산) 113-1),주간,대면수업,
86,인성교양,,,0APR1139,DZ,1,대학생활설계와비전2,1,김연정,수4(1호관(천안) 201),주간(천안),대면수업,
87,인성교양,,,0APR1139,ED,1,대학생활설계와비전2,1,이윤정,수1(벤처교육관(천안) 305),주간(천안),대면수업,
88,인성교양,,,0APR1139,ER,1,대학생활설계와비전2,1,이호준,월1(제2공학관(아산) 201),주간,대면수업,
89,인성교양,,,0APR1139,FA,1,대학생활설계와비전2,1,서동철,화1(제1공학관(아산) 349),주간,대면수업,
90,인성교양,,,0APR1139,FD,1,대학생활설계와비전2,1,홍은기,수2(1호관(천안) B11),주간(천안),대면수업,
91,인성교양,,,0APR1139,FS,1,대학생활설계와비전2,1,정용호,수8(제1공학관(아산) 349),주간,대면수업,
92,인성교양,,,0APR1139,FW,1,대학생활설계와비전2,1,손진만,목3(제1공학관(아산) 424),주간,대면수업,
93,인성교양,,,0APR1139,G7,1,대학생활설계와비전2,1,윤수인,목5(예술관(아산) 217),주간,대면수업,
94,인성교양,,,0APR1139,G8,1,대학생활설계와비전2,1,정우식,목0(산학협동1호관(아산) 115),주간,대면수업,
95,인성교양,,,0APR1139,GA,1,대학생활설계와비전2,1,황다현,월2(보건과학관(아산) 207),주간,대면수업,
96,인성교양,,,0APR1139,GF,1,대학생활설계와비전2,1,안준희,목8(벤처교육관(천안) 306),주간(천안),대면수업,
97,인성교양,,,0APR1139,GT,1,대학생활설계와비전2,1,권정태,목5(강석규교육관(아산) 214),주간,대면수업,
98,인성교양,,,0APR1139,GX,1,대학생활설계와비전2,1,김성일,수5(제1공학관(아산) 422),주간,대면수업,
99,인성교양,,,0APR1139,H2,1,대학생활설계와비전2,1,윤장원,화6(보건과학관(아산) 206),주간,대면수업,
100,인성교양,,,0APR1139,HT,1,대학생활설계와비전2,1,김연희,목6(제1공학관(아산) 501),주간,대면수업,
101,인성교양,,,0APR1139,IB,1,대학생활설계와비전2,1,정구헌,월1(조형과학관(아산) 418),주간,대면수업,
102,인성교양,,,0APR1139,IH,1,대학생활설계와비전2,1,박현식,월4(벤처교육관(천안) 305),주간(천안),대면수업,
103,인성교양,,,0APR1139,II,1,대학생활설계와비전2,1,장동석,월7(복지교육관(천안) 102),주간(천안),대면수업,
104,인성교양,,,0APR1139,IS,1,대학생활설계와비전2,1,도한영,화4(산학협동1호관(아산) 404),주간,대면수업,
105,인성교양,,,0APR1139,IU,1,대학생활설계와비전2,1,정일미,월9(골프학과실습장(아산) 207),주간,대면수업,
106,인성교양,,,0APR1139,IX,1,대학생활설계와비전2,1,권혁구,화6(제1공학관(아산) 404),주간,대면수업,
107,인성교양,,,0APR1139,IZ,1,대학생활설계와비전2,1,김윤재,수7(제1공학관(아산) 422),주간,대면수업,
108,인성교양,,,0APR1139,JF,1,대학생활설계와비전2,1,곽은주,월4(보건과학관(아산) 401-1),주간,대면수업,
109,인성교양,,,0APR1139,JJ,1,대학생활설계와비전2,1,장동석,월8(복지교육관(천안) 102),주간(천안),대면수업,
110,인성교양,,,0APR1139,JY,1,대학생활설계와비전2,1,장인성,화4(제1공학관(아산) 404),주간,대면수업,
111,인성교양,,,0APR1139,K6,1,대학생활설계와비전2,1,방진숙,월4(제2공학관(아산) 510),주간,대면수업,
112,인성교양,,,0APR1139,K7,1,대학생활설계와비전2,1,선복근,월4(제2공학관(아산) 509),주간,대면수업,
113,인성교양,,,0APR1139,K9,1,대학생활설계와비전2,1,안용학,월4(제2공학관(아산) 402),주간,대면수업,
114,인성교양,,,0APR1139,KE,1,대학생활설계와비전2,1,김성조,화5(자연과학관(아산) 207),주간,대면수업,
115,인성교양,,,0APR1139,KU,1,대학생활설계와비전2,1,임민택,화4(산학협동1호관(아산) 402),주간,대면수업,
116,인성교양,,,0APR1139,KW,1,대학생활설계와비전2,1,안창식,월9(골프학과실습장(아산) 202),주간,대면수업,
117,인성교양,,,0APR1139,LE,1,대학생활설계와비전2,1,정구헌,월6(조형과학관(아산) 418),주간,대면수업,
118,인성교양,,,0APR1139,LF,1,대학생활설계와비전2,1,이상국,금5(자연과학관(아산) 510),주간,대면수업,
119,인성교양,,,0APR1139,LG,1,대학생활설계와비전2,1,김주혜,월6(자연과학관(아산) 315),주간,대면수업,
120,인성교양,,,0APR1139,LK,1,대학생활설계와비전2,1,정민,월6(예술관(아산) 214),주간,대면수업,
121,인성교양,,,0APR1139,LL,1,대학생활설계와비전2,1,정민,월7(예술관(아산) 214),주간,대면수업,
122,인성교양,,,0APR1139,LX,1,대학생활설계와비전2,1,조상우,월9(골프학과실습장(아산) 201),주간,대면수업,
123,인성교양,,,0APR1139,M5,1,대학생활설계와비전2,1,김응식,수4(제1공학관(아산) 432),주간,대면수업,
124,인성교양,,,0APR1139,M6,1,대학생활설계와비전2,1,김정훈,월5(제1공학관(아산) 501),주간,대면수업,
125,인성교양,,,0APR1139,M7,1,대학생활설계와비전2,1,김동현,수7(제1공학관(아산) 227),주간,대면수업,
126,인성교양,,,0APR1139,M8,1,대학생활설계와비전2,1,조명호,월5(제1공학관(아산) 430),주간,대면수업,
127,인성교양,,,0APR1139,MI,1,대학생활설계와비전2,1,송지영,화4(보건과학관(아산) 401-1),주간,대면수업,
128,인성교양,,,0APR1139,NI,1,대학생활설계와비전2,1,김미혜,화5(자연과학관(아산) 305),주간,대면수업,
129,인성교양,,,0APR1139,NJ,1,대학생활설계와비전2,1,김하나,화5(보건과학관(아산) 401-1),주간,대면수업,
130,인성교양,,,0APR1139,NZ,1,대학생활설계와비전2,1,윤상조,수0(음악관(천안) 527),주간(천안),대면수업,
131,인성교양,,,0APR1139,O1,1,대학생활설계와비전2,1,오승민,수4(산학협동1호관(아산) 105),주간,대면수업,
132,인성교양,,,0APR1139,OA,1,대학생활설계와비전2,1,김보인,월3(벤처교육관(천안) 304),주간(천안),대면수업,
133,인성교양,,,0APR1139,OB,1,대학생활설계와비전2,1,김보인,월5(벤처교육관(천안) 304),주간(천안),대면수업,
134,인성교양,,,0APR1139,OC,1,대학생활설계와비전2,1,김보인,목4(벤처교육관(천안) 304),주간(천안),대면수업,
135,인성교양,,,0APR1139,OD,1,대학생활설계와비전2,1,김보인,목6(벤처교육관(천안) 304),주간(천안),대면수업,
136,인성교양,,,0APR1139,OH,1,대학생활설계와비전2,1,이인희,수2(자연과학관(아산) 508),주간,대면수업,
137,인성교양,,,0APR1139,P7,1,대학생활설계와비전2,1,백정훈,월5(학생식당(아산) 402),주간,대면수업,
138,인성교양,,,0APR1139,P8,1,대학생활설계와비전2,1,이단비,목8(학생식당(아산) 401),주간,대면수업,
139,인성교양,,,0APR1139,PB,1,대학생활설계와비전2,1,최현우,수0(음악관(천안) 521),주간(천안),대면수업,
140,인성교양,,,0APR1139,PJ,1,대학생활설계와비전2,1,이환명,수1(자연과학관(아산) 508),주간,대면수업,
141,인성교양,,,0APR1139,PK,1,대학생활설계와비전2,1,송미영,화5(자연과학관(아산) 513),주간,대면수업,
142,인성교양,,,0APR1139,PL,1,대학생활설계와비전2,1,문설화,화6(보건과학관(아산) 401-1),주간,대면수업,
143,인성교양,,,0APR1139,PP,1,대학생활설계와비전2,1,고인석,화5(1호관(천안) B01-1),주간(천안),대면수업,
144,인성교양,,,0APR1139,PZ,1,대학생활설계와비전2,1,유상석,월9(체육관(아산) 206),주간,대면수업,
145,인성교양,,,0APR1139,QA,1,대학생활설계와비전2,1,김인재,화4(체육관(아산) 311),주간,대면수업,
